KBase Phylo Ref	KBase Phylo ObjName	KBase DB Ref	KBase DB ObjName	NCBI TaxID	GOLD ID	IMG ID	RefSeq ID	GenBank / INSDC	Genbank/RefSeq Assembly	Code	Species Name	Isolate / MAG	Domain	Phylum	Class	Order	Full Lineage
50737/2/1	Acidobacterium_ailaaui	19217/206628/3	GCF_000688455.1	1382359	Go0034257	2558860986	NZ_JIAL00000000.1	JIAL00000000.1	GCF_000688455.1_ASM68845v1		Acidobacterium ailaaui PMMR2	Isolate	Bacteria	Acidobacteria	Acidobacteriia		cellular organisms; Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Acidobacterium; Acidobacterium ailaaui
50737/3/1	Aquifex_aeolicus_VF5	19217/154546/3	GCF_000008625.1	224324	Go0000776	637000010	NC_000918.1	AE000657.1	GCF_000008625.1_ASM862v1		Aquifex aeolicus VF5	Isolate	Bacteria	Aquificae	Aquificae		cellular organisms; Bacteria; Aquificae; Aquificae; Aquificales; Aquificaceae; Aquifex; Aquifex aeolicus
50737/4/1	Caldisericum_exile_AZM16c01	19217/151363/4	GCF_000284335.1	511051	Go0006583	2513237181	NC_017096.1	AP012051.1	GCF_000284335.1_ASM28433v1		Caldisericum exile AZM16c01	Isolate	Bacteria	Caldiserica	Caldisericia		cellular organisms; Bacteria; Caldiserica; Caldisericia; Caldisericales; Caldisericaceae; Caldisericum; Caldisericum exile
50737/5/1	Caldithrix_abyssi_DSM_13497	19217/174417/3	GCF_001886815.1	880073	Go0003487	2718218154	NZ_CP018099.1	CP018099.1	GCF_001886815.1_ASM188681v1		Caldithrix abyssi DSM 13497	Isolate	Bacteria	Calditrichaeota	Calditrichae		cellular organisms; Bacteria; Calditrichaeota; Calditrichae; Calditrichales; Calditrichaceae; Caldithrix; Caldithrix abyssi
50737/6/1	Chrysiogenes_arsenatis_DSM_11915	19217/206861/4	GCF_000469585.1	118005	Go0001331	2579778963	NZ_AWNK00000000.1	AWNK00000000.1	GCF_000469585.1_Chrysiogenes_arsenatis		Chrysiogenes arsenatis DSM 11915	Isolate	Bacteria	Chrysiogenetes	Chrysiogenetes		cellular organisms; Bacteria; Chrysiogenetes; Chrysiogenetes; Chrysiogenales; Chrysiogenaceae; Chrysiogenes; Chrysiogenes arsenatis
50737/7/1	Deferribacter_desulfuricans_SSM1	19217/180873/3	GCF_000010985.1	639282	Go0001111	646564525	NC_013939.1	AP011529.1	GCF_000010985.1_ASM1098v1		Deferribacter desulfuricans SSM1	Isolate	Bacteria	Deferribacteres	Deferribacteres		cellular organisms; Bacteria; Deferribacteres; Deferribacteres; Deferribacterales; Deferribacteraceae; Deferribacter; Deferribacter desulfuricans
50737/8/1	Dictyoglomus_turgidum_DSM_6724	19217/145046/5	GCF_000021645.1	515635	Go0000002	643348543	NC_011661.1	CP001251.1	GCF_000021645.1_ASM2164v1		Dictyoglomus turgidum DSM 6724	Isolate	Bacteria	Dictyoglomi	Dictyoglomia		cellular organisms; Bacteria; Dictyoglomi; Dictyoglomia; Dictyoglomales; Dictyoglomaceae; Dictyoglomus; Dictyoglomus turgidum
50737/9/1	Elusimicrobium_minutum_Pei191	19217/73555/5	GCF_000020145.1	445932	Go0003397	642555127	NC_010644.1	CP001055.1	GCF_000020145.1_ASM2014v1		Elusimicrobium minutum Pei191	Isolate	Bacteria	Elusimicrobia	Elusimicrobia		cellular organisms; Bacteria; Elusimicrobia; Elusimicrobia; Elusimicrobiales; Elusimicrobiaceae; Elusimicrobium; Elusimicrobium minutum
50737/10/1	Bacteroides_ovatus_V975	19217/208622/13	GCF_900095495.1	1379690	Go0364054	N/A	NZ_CP012938.1	LT622246.1	GCF_900095495.1_B_ovatus_V975		Bacteroides ovatus V975	Isolate	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidia		cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides ovatus
				1379698	N/A	N/A	N/A	AUYT00000000.1	GCF_000447245.1_RBG_1		candidate division Zixibacteria bacterium RBG-1	MAG	Bacteria	candidate division Zixibacteria	candidate division Zixibacteria		cellular organisms; Bacteria; FCB group; candidate division Zixibacteria
