dmsA_ynfE	TIGR02166	subfamily	0			anaerobic dimethyl sulfoxide reductase,  A subunit, DmsA/YnfE family
PhnE	TIGR01097	equivalog	143	phnE		phosphonate ABC transporter, permease protein PhnE
Bac_Flav_CT_J	TIGR03782	equivalog	98	traJ		Bacteroides conjugative transposon TraJ protein
PQQ_syn_pqqE	TIGR02109	equivalog	76	pqqE		coenzyme PQQ biosynthesis protein E
galT_1	TIGR00209	equivalog	119	galT	2.7.7.10	galactose-1-phosphate uridylyltransferase
catechol_dmpE	TIGR03220	equivalog	0	dmpE	4.2.-.-	2-oxopent-4-enoate hydratase
F420_MSMEG_4879	TIGR03564	subfamily	703		1.-.-.-	F420-dependent oxidoreductase, MSMEG_4879 family
met_CoM_red_A2	TIGR03269	equivalog	159	atwA		methyl coenzyme M reductase system, component A2
moaA_archaeal	TIGR02668	hypoth_equivalog	82	moaA		probable molybdenum cofactor biosynthesis protein A
gmhA	TIGR00441	equivalog	90	gmhA	5.3.1.28	phosphoheptose isomerase
F420_MSMEG_2516	TIGR03621	subfamily	703			probable F420-dependent oxidoreductase, MSMEG_2516 family
murE	TIGR01085	subfamily	89	murE		UDP-N-acetylmuramyl-tripeptide synthetase
TIGR02284	TIGR02284	subfamily	0			conserved hypothetical protein
queA	TIGR00113	equivalog	168	queA	5.-.-.-	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
glmM	TIGR01455	equivalog	100	glmM	5.4.2.10	phosphoglucosamine mutase
arch_S17P	TIGR03630	equivalog	158			archaeal ribosomal protein S17P
permease_CysT	TIGR02139	equivalog	143	cysT		sulfate ABC transporter, permease protein CysT
CyoD	TIGR02847	equivalog	112	cyoD	1.10.3.-	cytochrome o ubiquinol oxidase subunit IV
put_DNA_pack	TIGR01560	hypoth_equivalog	152			uncharacterized phage protein (possible DNA packaging)
proA	TIGR00407	equivalog_domain	73	proA	1.2.1.41	glutamate-5-semialdehyde dehydrogenase
trehalos_R_Bsub	TIGR02404	equivalog	261	treR		trehalose operon repressor
valS	TIGR00422	equivalog	137	valS	6.1.1.9	valine--tRNA ligase
C_P_lyase_phnF	TIGR02325	equivalog	261	phnF		phosphonate metabolism transcriptional regulator PhnF
cas_Csn1	TIGR01865	hypoth_equivalog	708	cas9		CRISPR-associated protein Cas9/Csn1, subtype II/NMEMI
3a0106s03	TIGR00971	subfamily	143			sulfate ABC transporter, sulfate-binding protein
eut_hyp	TIGR02536	hypoth_equivalog	0			ethanolamine utilization protein
hyp_HI0040	TIGR01619	hypoth_equivalog	0			TIGR01619 family protein
ExbD_1	TIGR02803	equivalog	0	exbD		TonB system transport protein ExbD
pulA_typeI	TIGR02104	equivalog	0	pulA	3.2.1.41	pullulanase, type I
FtsZ_alphas_C	TIGR03483	equivalog_domain	93	ftsZ		cell division protein FtsZ, alphaProteobacterial C-terminal extension
phage_P_loop	TIGR01618	hypoth_equivalog	152			phage nucleotide-binding protein
FtcD	TIGR02024	equivalog	109	ftcD	2.1.2.5	glutamate formiminotransferase
yajC	TIGR00739	equivalog	97	yajC		preprotein translocase, YajC subunit
mutl	TIGR00585	superfamily	132	mutL		DNA mismatch repair protein MutL
CPEP_Pphonmut	TIGR02319	equivalog	0	bcpA	2.7.8.23	carboxyvinyl-carboxyphosphonate phosphorylmutase
TIGR03545	TIGR03545	subfamily	0			TIGR03545 family protein
his_ut_repres	TIGR02018	equivalog	261	hutC		histidine utilization repressor
5S_RNA_mat_M5	TIGR00334	equivalog	166	rnmV	3.1.26.8	ribonuclease M5
DapD_gpp	TIGR03536	equivalog	0	dapD	2.3.1.117	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
fruA	TIGR00848	subfamily_domain	700	fruA	2.7.1.69	PTS system, fructose subfamily, IIA component
PQQ_ABC_ATP	TIGR03864	hypoth_equivalog	144			ABC transporter, ATP-binding subunit, PQQ-dependent alcohol dehydrogenase system
ATPase-IID_K-Na	TIGR01523	equivalog	0		3.6.3.-	potassium/sodium efflux P-type ATPase, fungal-type
nspC	TIGR01047	equivalog	104	nspC		carboxynorspermidine decarboxylase
AhpF_homolog	TIGR03143	hypoth_equivalog	0		1.6.4.-	putative alkyl hydroperoxide reductase F subunit
rpoB	TIGR02013	equivalog	135	rpoB	2.7.7.6	DNA-directed RNA polymerase, beta subunit
gp16_SPP1	TIGR01563	hypoth_equivalog	152			putative phage head-tail adaptor
rodA_shape	TIGR02210	equivalog	93	mrdB		rod shape-determining protein RodA
HpnM	TIGR03481	hypoth_equivalog	0	hpnM		hopanoid biosynthesis associated membrane protein HpnM
tspaseT_teng_C	TIGR01766	equivalog_domain	154			transposase, IS605 OrfB family
TIGR00274	TIGR00274	equivalog	89	murQ	4.2.-.-	N-acetylmuramic acid 6-phosphate etherase
adjacent_YSIRK	TIGR04094	equivalog	0			YSIRK-targeted surface antigen transcriptional regulator
RelE_StbE	TIGR02385	subfamily	708			addiction module toxin, RelE/StbE family
DnaA	TIGR00362	equivalog	132	dnaA		chromosomal replication initiator protein DnaA
dapD	TIGR00965	equivalog	71	dapD	2.3.1.117	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
2A76	TIGR00949	subfamily	142			Homoserine/Threonine efflux protein
FlhF	TIGR03499	equivalog	188	flhF		flagellar biosynthesis protein FlhF
DcuC	TIGR00771	subfamily	144			transporter, anaerobic C4-dicarboxylate uptake C (DcuC) family
glycyl_YjjI	TIGR04040	hypoth_equivalog	703	yjjI		glycine radical enzyme, YjjI family
AhpF	TIGR03140	equivalog	149	ahpF	1.8.1.-	alkyl hydroperoxide reductase, F subunit
aIF-2beta	TIGR00311	hypoth_equivalog	169			putative translation initiation factor aIF-2, beta subunit
tyrS	TIGR00234	equivalog	137	tyrS	6.1.1.1	tyrosine--tRNA ligase
sulfo_cyanin	TIGR03094	equivalog	112			sulfocyanin
folE	TIGR00063	equivalog	78	folE	3.5.4.16	GTP cyclohydrolase I
kdsB	TIGR00466	equivalog	90	kdsB	2.7.7.38	3-deoxy-D-manno-octulosonate cytidylyltransferase
Pyr-5-nucltdase	TIGR01993	hypoth_equivalog	0		3.1.3.5	pyrimidine 5'-nucleotidase
intg_mem_TP0381	TIGR02206	hypoth_equivalog	0			conserved hypothetical integral membrane protein TIGR02206
SAM_DCase_Eco	TIGR03331	equivalog	104	speD	4.1.1.50	S-adenosylmethionine decarboxylase proenzyme
hemeryth_dom	TIGR02481	domain	0			hemerythrin-like metal-binding domain
O-ClC	TIGR00862	subfamily	143			intracellular chloride channel protein
ATPase-IIIB_Mg	TIGR01524	equivalog	145	mgtA	3.6.3.2	magnesium-translocating P-type ATPase
MltB_2	TIGR02283	subfamily	89		2.4.-.-	lytic murein transglycosylase
RfaH	TIGR01955	equivalog	165	rfaH		transcriptional activator RfaH
PPK2_rel_1	TIGR03709	hypoth_equivalog	103		2.7.4.-	polyphosphate:nucleotide phosphotransferase, PPK2 family
VirB9	TIGR02781	equivalog	702	virB9		P-type conjugative transfer protein VirB9
rSAM_link_UDG	TIGR03916	hypoth_equivalog_domain	703			putative DNA modification/repair radical SAM protein
arg_catab_AstA	TIGR03244	equivalog	109	astA	2.3.1.109	arginine N-succinyltransferase
spo_yunB	TIGR02832	equivalog	705	yunB		sporulation protein YunB
PHB_DH	TIGR01963	subfamily	0			3-hydroxybutyrate dehydrogenase
EpsE	TIGR03028	equivalog	0	epsE		polysaccharide export protein EpsE
EPS_sugtrans	TIGR03025	subfamily	0			exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase
FtsE	TIGR02673	equivalog	93	ftsE		cell division ATP-binding protein FtsE
bacteriocin_sig	TIGR01847	domain	0			bacteriocin-type signal sequence
chap_CCT_zeta	TIGR02347	equivalog	0			T-complex protein 1, zeta subunit
eIF-6	TIGR00323	hypoth_equivalog	169			putative translation initiation factor eIF-6
conj_TIGR03750	TIGR03750	hypoth_equivalog	186			conjugative transfer region protein, TIGR03750 family
tnaA_trp_ase	TIGR02617	equivalog	109	tnaA	4.1.99.1	tryptophanase
pabB	TIGR00553	equivalog	78	pabB	2.6.1.85	aminodeoxychorismate synthase, component I
TIGR02611	TIGR02611	hypoth_equivalog	156			TIGR02611 family protein
thia_yuaJ	TIGR02357	hypoth_equivalog	147			putative proton-coupled thiamine transporter YuaJ
kdpA	TIGR00680	equivalog	145	kdpA	3.6.3.12	K+-transporting ATPase, A subunit
RPE1	TIGR01045	domain	0			Rickettsial palindromic element RPE1 domain
cellulose_yhjU	TIGR03368	hypoth_equivalog	90	yhjU		cellulose synthase operon protein YhjU
FMN_nitrolo	TIGR03860	subfamily	703		1.-.-.-	FMN-dependent oxidoreductase, nitrilotriacetate monooxygenase family
4hydrxCoA_A	TIGR03194	equivalog	0	hcrA	1.3.99.20	4-hydroxybenzoyl-CoA reductase, alpha subunit
pucE	TIGR03198	equivalog	0	pucE	1.17.1.4	xanthine dehydrogenase E subunit
ftsL_broad	TIGR02209	equivalog	93	ftsL		cell division protein FtsL
cas_csp1	TIGR03489	hypoth_equivalog	0	cas7		CRISPR-associated protein Cas7/Csp1, subtype PGING
alt_F1F0_F1_al	TIGR03324	exception	0			alternate F1F0 ATPase, F1 subunit alpha
nifK	TIGR01286	equivalog	179	nifK	1.18.6.1	nitrogenase molybdenum-iron protein beta chain
WcaA	TIGR04017	equivalog	0	wcaA	2.4.-.-	colanic acid biosynthesis glycosyl transferase WcaA
pssA	TIGR00473	equivalog	176	pssA	2.7.8.8	CDP-diacylglycerol-serine O-phosphatidyltransferase
maf	TIGR00172	equivalog	93	maf		septum formation protein Maf
TIGR03986	TIGR03986	hypoth_equivalog	0			CRISPR-associated protein
nuoE_fam	TIGR01958	subfamily	112	nuoE		NADH-quinone oxidoreductase, E subunit
rpmH_bact	TIGR01030	equivalog	158	rpmH		ribosomal protein L34
dnd_assoc_3	TIGR03238	equivalog	183	dptF		DNA phosphorothioation-dependent restriction protein DptF
archaeo_AfpA	TIGR02699	hypoth_equivalog	112	afpA		archaeoflavoprotein AfpA
mono_pep_trsgly	TIGR02070	equivalog	89	mtgA	2.4.2.-	monofunctional biosynthetic peptidoglycan transglycosylase
BchD-ChlD	TIGR02031	equivalog	191	bchD	6.6.1.1	magnesium chelatase ATPase subunit D
NrdD	TIGR02487	equivalog	123	nrdD	1.17.4.2	anaerobic ribonucleoside-triphosphate reductase
accC	TIGR00514	equivalog	176	accC	6.3.4.14	acetyl-CoA carboxylase, biotin carboxylase subunit
L_lactate_ox	TIGR02708	equivalog	184	lctO	1.1.3.-	L-lactate oxidase
gatA	TIGR00132	equivalog	137	gatA	6.3.5.-	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit
2A0106	TIGR00883	subfamily	141			MFS transporter, metabolite:H+ symporter (MHS) family protein
TIGR03438	TIGR03438	hypoth_equivalog	703			probable methyltransferase
tail_tube	TIGR01611	equivalog	152			phage major tail tube protein
